index,brewery_id,beer_beerid,review_profilename,review_taste,user_idx,item_idx,predicted_taste
1011874,143,1352,1099,4.0,17,682,3.070558131794774
326714,447,1719,1099,3.0,17,886,2.9736917990863065
325202,447,1731,1099,2.5,17,898,1.7167600602479538
104859,655,1798,1099,4.0,17,931,3.043442182786635
655805,57,1907,1099,3.0,17,978,3.5688416937045715
691270,252,35625,05Harley,4.5,4,18252,4.593800265511907
994359,15237,38334,05Harley,4.5,4,19646,4.476644484144354
800782,18149,38530,05Harley,4.0,4,19743,4.385633236289222
775590,42,38818,05Harley,3.5,4,19913,4.144820102077132
915551,6045,40164,05Harley,3.5,4,20650,4.298590881398608
639744,30,1490,100floods,3.5,12,753,4.040136247988269
164605,610,1658,100floods,4.0,12,849,4.045185787589467
846013,72,1934,100floods,4.0,12,991,4.2410503510443025
424691,697,2013,100floods,4.5,12,1050,3.797918708826745
968500,222,2566,100floods,3.0,12,1320,3.8140730394661086
195255,1627,4557,1759Girl,4.0,36,2306,3.5118072525241764
550735,1306,4702,1759Girl,4.0,36,2395,3.141722112676953
75198,140,5436,1759Girl,3.0,36,2833,4.749583554521454
576123,2210,5643,1759Girl,3.5,36,2974,4.381834739744329
849203,562,5655,1759Girl,4.0,36,2981,3.3551261984228455
722552,689,24403,1fastz28,4.0,55,12469,3.4908839393771016
548199,583,25044,1fastz28,3.5,55,12812,3.895481728123806
750688,148,25989,1fastz28,4.5,55,13310,3.901969320612917
315194,35,34832,1fastz28,4.0,55,17855,3.6576039783281185
303611,35,34833,1fastz28,4.5,55,17856,4.0760506375803915
447595,590,1585,2xHops,4.5,101,812,4.298761387044256
85632,140,1904,2xHops,4.0,101,975,3.9635877817763236
984006,751,2296,2xHops,3.5,101,1170,3.702100229693217
968479,222,2566,2xHops,4.0,101,1320,4.018978961091097
646728,30,2729,2xHops,3.5,101,1410,4.069425584323775
913933,6045,42930,321jeff,5.0,107,22255,4.369696418995207
858606,13307,69543,321jeff,4.5,107,37803,3.5098448988030597
30501,1199,55900,321jeff,4.0,107,29700,4.60299982542968
378489,27039,16814,321jeff,5.0,107,8595,5.129885142081555
802812,18149,60886,321jeff,4.0,107,32561,4.560470050277704
464987,392,23555,Backer2004,3.5,888,12038,3.692143320896438
66263,161,18290,Backer2004,4.0,888,9342,3.3707372985481032
65919,161,2350,Backer2004,3.5,888,1207,3.171868112411312
77880,140,2671,Backer2004,5.0,888,1377,4.255105426430827
6980,3282,8422,Backer2004,3.5,888,4536,4.176107820115493
330029,1168,11482,baconsausage,4.5,12568,5982,3.673440794051756
16273,1199,47658,baconsausage,3.0,12568,24996,4.032839334340597
481630,388,47088,baconsausage,4.0,12568,24636,4.444066691928903
829494,267,63543,baconsausage,3.5,12568,34157,3.3185095304962604
732831,1170,45334,baconsausage,2.5,12568,23626,3.4975987675992144
303236,35,108,becktone,3.5,12837,53,3.019124517684305
553862,467,2782,becktone,4.0,12837,1440,3.567358200087848
606507,4110,8708,becktone,3.5,12837,4673,3.259039916747245
554898,467,38467,becktone,3.0,12837,19707,3.567920047889564
1003598,10991,36688,becktone,3.5,12837,18825,3.887522603452424
917591,160,236,Boilermaker88,3.5,1730,125,3.5679790000188603
906156,142,1944,Boilermaker88,4.0,1730,996,3.5880129310965176
436472,1498,25625,Boilermaker88,3.0,1730,13107,3.409044841099829
1023590,353,4308,Boilermaker88,3.0,1730,2215,1.8325130848021776
1024059,353,3998,Boilermaker88,2.5,1730,2042,2.291873413736637
472907,392,1566,dasenebler,3.5,15651,802,3.726979177974696
656824,57,1283,dasenebler,4.0,15651,644,3.5955711836162734
996441,15237,36198,dasenebler,5.0,15651,18550,3.9215733187731767
579350,2210,50697,dasenebler,4.5,15651,26779,4.224057407346622
456185,23922,65518,dasenebler,3.5,15651,35362,3.2896483670935703
127737,877,3967,EStreet20,3.0,3668,2019,3.131867256278462
391082,3,6,EStreet20,4.0,3668,3,3.5412329842244383
442029,1646,5451,EStreet20,3.0,3668,2847,3.57971530736173
822336,400,2532,EStreet20,4.0,3668,1299,3.3830198959607114
158025,3818,36179,EStreet20,4.5,3668,18541,4.00320197254779
601386,1549,53980,JoeyBeerBelly,4.0,5891,28578,4.535569280447259
515723,113,576,JoeyBeerBelly,4.5,5891,306,4.414759637745751
367999,22,694,JoeyBeerBelly,4.0,5891,363,4.401399195745701
636157,30,2894,JoeyBeerBelly,4.0,5891,1499,4.254710997847753
610421,106,44315,JoeyBeerBelly,3.5,5891,23059,3.941011461115282
960659,285,776,joezak5,3.5,19811,418,4.1389499953061
649258,30,28204,joezak5,4.0,19811,14531,4.031122223490657
233642,1628,8543,joezak5,3.5,19811,4598,4.5117735005979664
51901,394,20539,joezak5,4.5,19811,10454,4.565543609836131
25341,1199,7463,joezak5,4.0,19811,3982,4.286430654323072
866587,127,1130,magictrokini,3.5,21391,578,3.4103535564323875
664909,5855,27462,magictrokini,3.0,21391,14116,3.3167995134145154
504577,132,39361,magictrokini,3.5,21391,20199,4.047816215580881
500397,132,26031,magictrokini,2.5,21391,13338,2.981685509415246
509139,132,35404,magictrokini,4.5,21391,18168,3.8821891076283013
795109,187,601,Mora2000,4.0,7435,320,3.8984914751099247
796668,187,599,Mora2000,4.0,7435,318,4.14304763281005
800335,18149,42816,Mora2000,4.5,7435,22204,4.540084592494237
803959,18149,55992,Mora2000,4.5,7435,29750,4.347579777732381
132592,5318,54547,Mora2000,4.5,7435,28893,4.332232882321211
174566,94,3128,ngeunit1,3.5,23013,1628,4.0922094976026315
175498,94,55960,ngeunit1,4.0,23013,29734,4.313836492665733
176550,94,270,ngeunit1,3.5,23013,138,3.937374756229129
173697,94,273,ngeunit1,4.5,23013,141,4.2336810199963555
175104,94,3636,ngeunit1,3.0,23013,1844,3.4336866865792595
257339,4051,19357,OStrungT,4.0,7970,9854,4.155727310306263
76515,140,68958,OStrungT,3.0,7970,37429,4.02274382599809
89469,140,63152,OStrungT,3.5,7970,33946,4.597514613933223
578751,2210,41121,OStrungT,4.5,7970,21209,4.773177006803358
870841,147,62254,OStrungT,4.5,7970,33389,3.789586474593307
24225,1199,25852,phichifiji00,4.5,23856,13218,4.0266674565556135
62285,16866,51741,phichifiji00,4.0,23856,27393,3.9898606697938366
159187,3818,49286,phichifiji00,4.5,23856,25980,4.1066187816895985
61811,16866,53728,phichifiji00,5.0,23856,28433,4.461309231326033
60807,16866,74537,phichifiji00,4.5,23856,40948,4.256283973269973
763081,144,27328,rallison,4.0,24383,14041,3.8650369264250424
741888,266,1443,rallison,4.0,24383,733,4.39172564327517
136168,5318,31613,rallison,4.5,24383,16229,4.395176061522746
697268,130,6590,rallison,3.5,24383,3502,4.109000630047976
644798,30,7850,rallison,4.5,24383,4201,4.245157850116689
964470,2594,8012,santa109,3.5,25187,4290,4.7330539887508545
244743,780,7700,santa109,2.5,25187,4122,3.237026810278954
964701,2594,18643,santa109,3.5,25187,9517,4.195357809093688
255992,1141,16558,santa109,5.0,25187,8445,4.199923487952557
252156,1141,25804,santa109,4.5,25187,13197,4.756708753278492
505189,132,56973,santoslhalper,4.5,25192,30379,3.9762035403568965
43485,263,1324,santoslhalper,4.0,25192,664,4.093070350108988
485166,388,1632,santoslhalper,4.5,25192,835,4.2449198157895704
992568,208,674,santoslhalper,4.5,25192,356,3.974974871835158
344374,37,129,santoslhalper,4.5,25192,71,4.013926371801931
193445,2743,34085,scottoale,4.0,25373,17470,4.2366856472144185
755330,3521,9630,scottoale,3.5,25373,5144,4.040799245107864
755541,3521,26511,scottoale,4.0,25373,13586,3.9462425220597748
629221,262,39043,scottoale,4.0,25373,20031,4.268270858207958
999531,10707,37259,scottoale,1.0,25373,19118,2.503803287534478
208262,192,30538,StarlightSeraph,2.5,9966,15654,3.122090946209634
676322,11036,26290,StarlightSeraph,4.5,9966,13460,4.01138714954303
969147,222,695,StarlightSeraph,4.5,9966,364,4.394164677366984
5341,14879,33644,StarlightSeraph,4.5,9966,17271,3.994985064930695
418542,73,15813,StarlightSeraph,3.5,9966,8077,4.119298277698532
495222,132,1173,Strix,4.0,10121,600,4.107554607830285
543278,2372,20232,Strix,4.0,10121,10285,4.3286000346636415
912679,1762,4948,Strix,3.5,10121,2543,4.035209451965553
892936,147,1056,Strix,4.5,10121,540,4.548872327307672
1047538,710,46550,Strix,3.5,10121,24324,3.448073091304992
6281,936,13009,tbeck,4.0,26782,6756,3.235666012881862
6182,936,7360,tbeck,2.5,26782,3915,3.9597689573084263
260843,91,2970,tbeck,2.0,26782,1539,2.329144276664016
352917,306,1212,tbeck,2.5,26782,617,2.8480127688965
386882,1396,4481,tbeck,3.5,26782,2272,2.8493543924475087
706224,17980,68900,TheSevenDuffs,4.0,10650,37403,3.5543952601539575
724231,14078,63264,TheSevenDuffs,1.0,10650,34023,3.8183328159597667
320872,16993,56911,TheSevenDuffs,3.5,10650,30336,3.346899656564469
135037,5318,34094,TheSevenDuffs,4.5,10650,17477,4.204030093701624
414751,73,228,TheSevenDuffs,4.0,10650,118,4.121795488039909
703926,695,27031,treehugger02010,3.5,27501,13870,3.6645599004523834
1001811,435,20984,treehugger02010,3.5,27501,10700,2.750406920651177
1002072,435,21041,treehugger02010,3.0,27501,10729,2.8106491377536464
124810,641,7183,treehugger02010,4.0,27501,3818,3.7811513094866043
693706,202,635,treehugger02010,3.0,27501,338,3.5904957446598207
336182,1548,35392,weeare138,4.0,28105,-1,3.3691276426086496
262662,357,28565,weeare138,3.5,28105,14695,3.700349035986366
315220,35,34832,weeare138,3.5,28105,17855,3.700045673109498
790020,12959,32269,weeare138,4.5,28105,16555,4.2510457443212495
482342,388,8954,weeare138,4.5,28105,4815,4.579357950576679
